osis,official,overall,history,english,math
000000000,7BB,91.9,95.5,97.0,75.0
000000000,7BB,87.3,86.5,91.5,75.0
000000000,7BB,87.0,86.5,92.0,90.0
000000000,7BB,66.0,67.5,50.0,0
000000000,7BB,92.3,96.0,95.0,85.0
000000000,7CC,94.4,95.0,0,90.0
000000000,7CC,96.6,98.5,94.0,94.0
000000000,7CC,91.8,92.0,93.0,0
000000000,7CC,92.7,93.0,96.0,93.0
000000000,7CC,91.2,90.0,94.0,87.5
000000000,7CC,94.0,92.0,95.0,95.0
000000000,7CC,86.5,88.0,90.0,84.0
000000000,7CC,90.5,96.0,88.0,88.0
000000000,7CC,94.7,94.0,98.0,97.0
000000000,7CC,92.2,95.0,90.0,0
000000000,7CC,81.0,70.0,70.0,87.3
000000000,7CC,90.5,92.5,90.0,0
000000000,7CC,94.0,95.5,90.0,90.0
000000000,7CC,97.6,94.0,98.0,97.7
000000000,7CC,87.6,92.0,91.0,75.0
000000000,7CC,84.8,80.0,88.0,80.5
000000000,7CC,87.2,89.0,88.0,0
000000000,7CC,72.0,60.0,65.0,90.0
000000000,7CC,91.5,93.0,91.0,93.5
000000000,7CC,83.4,85.7,90.0,0
000000000,7CC,88.5,86.5,93.0,85.0
000000000,7CC,94.6,94.0,92.0,95.0
000000000,7CC,95.2,96.5,95.0,97.0
000000000,7CC,92.3,88.0,94.0,93.0
000000000,7CC,89.0,92.7,80.0,75.0
000000000,7CC,90.0,80.0,91.0,90.7
000000000,7CC,87.5,88.0,90.0,89.5
000000000,7CC,93.2,95.0,93.0,93.5
000000000,7CC,93.2,91.7,90.0,96.0
000000000,7DD,93.0,88.0,95.0,0
000000000,7DD,92.0,97.0,0,85.0
000000000,7DD,73.0,72.5,80.0,0
000000000,7DD,89.5,86.5,92.0,94.0
000000000,7DD,92.0,92.0,90.0,0
000000000,7DD,95.2,98.5,96.0,90.0
000000000,7DD,86.8,90.5,85.0,80.0
000000000,7DD,88.7,89.0,95.0,85.0
000000000,7DD,95.5,93.0,97.0,97.0
000000000,7DD,94.0,95.0,94.0,94.0
000000000,7DD,90.9,96.0,90.0,80.0
000000000,7DD,93.2,88.0,91.0,90.0
000000000,7DD,85.8,85.0,92.0,88.0
000000000,7DD,89.5,94.0,85.0,85.0
000000000,7DD,93.2,97.0,91.0,88.0
000000000,7DD,91.5,80.0,97.0,92.0
000000000,7DD,95.3,97.0,95.0,95.0
000000000,7DD,92.5,92.5,92.0,94.0
000000000,7DD,93.4,90.0,90.0,96.0
000000000,7DD,75.0,85.0,65.0,0
000000000,7DD,92.5,90.0,88.0,0
000000000,7DD,95.8,98.5,95.0,94.0
000000000,7DD,95.0,93.0,96.0,94.0
000000000,7DD,91.5,93.0,90.0,90.0
000000000,7DD,72.5,55.0,65.0,0
000000000,7DD,92.6,93.0,90.0,96.0
000000000,7DD,91.6,90.0,95.0,88.0
000000000,7DD,90.0,89.5,90.0,88.0
000000000,7DD,94.4,91.0,92.0,95.0
000000000,7DD,94.3,92.0,93.0,96.0
000000000,7DD,92.2,92.5,90.0,94.0
000000000,7DD,95.4,95.0,90.0,96.0
000000000,7EE,86.3,86.0,85.0,88.0
000000000,7EE,95.5,96.0,95.0,98.0
000000000,7EE,90.8,88.5,88.0,0
000000000,7EE,93.5,94.0,88.0,95.5
000000000,7EE,83.5,88.0,85.0,0
000000000,7EE,93.1,97.3,88.0,95.0
000000000,7EE,92.5,93.7,94.0,92.0
000000000,7EE,92.1,89.0,99.0,98.0
000000000,7EE,77.2,76.0,75.0,0
000000000,7EE,90.8,92.0,85.0,92.0
000000000,7EE,96.0,97.0,93.0,96.0
000000000,7EE,90.2,85.0,91.0,85.0
000000000,7EE,93.3,93.0,95.0,93.0
000000000,7EE,91.8,94.0,90.0,0
000000000,7EE,80.3,82.0,70.0,80.0
000000000,7EE,93.1,95.0,93.0,88.0
000000000,7EE,67.0,61.7,85.0,0
000000000,7EE,90.5,85.0,90.0,97.5
000000000,7EE,91.3,88.0,92.0,90.0
000000000,7EE,90.0,88.0,65.0,95.0
000000000,7EE,94.0,94.0,92.0,0
000000000,7EE,91.6,90.0,88.0,96.0
000000000,7EE,94.4,90.0,96.0,93.0
000000000,7EE,94.4,93.5,97.0,0
000000000,7EE,79.5,80.0,65.0,90.0
000000000,7EE,0,0,0,0
000000000,7EE,93.4,91.0,91.0,95.0
000000000,7EE,95.5,96.0,95.0,94.3
000000000,7EE,94.3,0,91.0,95.0
000000000,7EE,78.8,89.5,65.0,85.0
000000000,7EE,93.1,90.0,94.0,93.0
000000000,7EE,90.6,94.3,80.0,0
000000000,7EE,91.4,92.0,90.0,88.0
000000000,7FF,92.8,95.0,91.0,95.0
000000000,7FF,89.5,85.0,92.0,80.0
000000000,7FF,90.7,88.5,88.0,88.0
000000000,7FF,91.4,90.0,90.0,88.0
000000000,7FF,88.7,85.0,89.5,80.0
000000000,7FF,63.3,68.3,50.0,0
000000000,7FF,88.8,91.5,88.0,93.0
000000000,7FF,92.2,88.0,92.0,95.0
000000000,7FF,91.4,91.7,92.0,0
000000000,7FF,95.0,95.0,98.0,85.0
000000000,7FF,83.2,91.0,80.0,85.0
000000000,7FF,93.0,97.0,85.0,90.0
000000000,7FF,91.3,98.0,94.0,85.0
000000000,7FF,90.5,93.0,92.5,85.0
000000000,7FF,91.8,85.0,95.0,88.0
000000000,7FF,93.4,90.0,88.0,94.0
000000000,7FF,89.2,90.0,88.0,0
000000000,7FF,86.7,87.5,85.0,0
000000000,7FF,96.7,94.0,92.0,98.0
000000000,7FF,93.4,92.0,94.0,92.5
000000000,7FF,93.0,93.0,90.0,94.0
000000000,7FF,92.7,90.7,93.0,98.0
000000000,7FF,91.2,85.0,92.0,96.0
000000000,7FF,96.1,96.0,94.0,99.0
000000000,7FF,95.5,93.5,98.0,0
000000000,7FF,93.0,93.0,93.0,95.0
000000000,7FF,92.5,91.3,95.0,90.0
000000000,7FF,88.2,94.0,93.0,75.0
000000000,7FF,64.0,70.0,65.0,0
000000000,7FF,92.6,92.5,91.0,0
000000000,7FF,94.2,98.5,96.0,90.0
000000000,7FF,86.7,90.0,85.0,95.0
000000000,7FF,65.8,70.0,65.0,70.0
000000000,7GG,79.8,80.0,89.5,0
000000000,7GG,83.7,80.0,85.0,80.0
000000000,7GG,95.2,98.0,97.0,85.0
000000000,7GG,90.3,89.7,0,93.0
000000000,7GG,92.4,94.5,93.0,91.7
000000000,7GG,86.9,80.0,90.0,80.0
000000000,7GG,95.3,93.5,95.0,94.5
000000000,7GG,94.0,90.0,97.5,90.0
000000000,7GG,91.7,95.0,90.0,88.0
000000000,7GG,88.2,88.0,85.0,95.0
000000000,7GG,85.5,92.0,93.0,65.0
000000000,7GG,90.4,87.0,94.0,88.0
000000000,7GG,82.6,85.0,89.0,0
000000000,7GG,89.2,80.0,94.0,91.6
000000000,7GG,94.1,98.0,95.0,88.0
000000000,7GG,89.2,88.0,91.0,90.0
000000000,7GG,92.7,94.0,93.0,85.0
000000000,7GG,95.4,96.0,96.0,95.5
000000000,7GG,95.2,99.0,93.0,98.0
000000000,7GG,89.5,90.0,91.0,92.0
000000000,7GG,84.2,85.0,85.0,85.0
000000000,7GG,96.0,97.0,95.0,97.0
000000000,7GG,95.4,98.4,94.0,92.0
000000000,7GG,94.7,95.0,92.0,95.0
000000000,7GG,90.0,85.0,90.0,94.0
000000000,7GG,94.5,92.5,97.0,90.5
000000000,7GG,91.9,88.0,95.0,95.0
000000000,7GG,86.0,83.0,88.0,85.0
000000000,7GG,95.2,97.5,93.0,96.0
000000000,7GG,91.2,94.0,96.0,89.0
000000000,7GG,94.3,90.0,92.0,93.0
000000000,7GG,87.0,85.0,90.0,80.0
000000000,7HH,89.0,89.7,90.0,85.0
000000000,7HH,92.8,91.5,97.0,94.5
000000000,7HH,94.4,94.0,96.0,92.0
000000000,7HH,94.0,95.0,95.0,88.0
000000000,7HH,92.8,96.5,92.0,93.5
000000000,7HH,93.5,98.0,95.0,85.0
000000000,7HH,96.5,97.0,97.0,97.0
000000000,7HH,92.8,93.5,94.5,90.0
000000000,7HH,93.6,93.7,93.0,90.0
000000000,7HH,86.6,91.0,80.0,85.0
000000000,7HH,90.0,93.0,85.0,92.0
000000000,7HH,92.4,96.0,90.0,92.0
000000000,7HH,94.3,97.0,92.0,90.0
000000000,7HH,94.0,93.5,94.0,92.5
000000000,7HH,92.2,91.0,92.0,90.0
000000000,7HH,90.6,91.5,95.0,85.0
000000000,7HH,95.2,95.5,0,93.0
000000000,7HH,94.6,92.0,91.0,96.0
000000000,7HH,91.2,86.5,97.0,94.0
000000000,7HH,90.7,95.0,85.0,91.3
000000000,7HH,93.6,96.0,91.0,90.0
000000000,7HH,90.7,92.0,91.0,85.0
000000000,7HH,91.0,91.5,90.0,91.0
000000000,7HH,92.8,95.5,95.0,90.0
000000000,7HH,89.3,94.0,88.0,85.5
000000000,7HH,92.0,95.0,92.0,94.0
000000000,7HH,95.2,96.7,92.0,91.0
000000000,7HH,92.8,98.0,93.0,90.0
000000000,7HH,93.4,93.0,96.0,91.5
000000000,7HH,94.4,94.0,92.0,97.0
000000000,7HH,95.8,96.0,0,95.0
000000000,7HH,93.0,99.0,93.0,87.5
000000000,7HH,89.6,94.0,90.0,85.0
000000000,7HH,92.7,93.5,94.0,90.0
000000000,7II,91.7,95.0,85.0,92.0
000000000,7II,93.3,94.5,96.0,90.0
000000000,7II,97.0,97.0,99.0,0
000000000,7II,94.5,94.0,92.0,94.5
000000000,7II,90.5,89.0,90.0,92.0
000000000,7II,89.3,84.0,93.0,92.0
000000000,7II,92.5,95.0,98.0,93.0
000000000,7II,91.7,88.0,88.0,95.0
000000000,7II,91.7,93.0,0,91.3
000000000,7II,96.9,97.0,98.0,94.0
000000000,7II,90.4,91.0,89.0,0
000000000,7II,92.5,95.0,94.0,88.0
000000000,7II,85.3,80.0,85.0,0
000000000,7II,86.3,90.5,92.0,0
000000000,7II,93.3,92.0,96.0,92.0
000000000,7II,89.6,91.0,90.0,86.0
000000000,7II,94.0,92.7,92.0,0
000000000,7II,93.2,90.0,94.0,97.0
000000000,7II,87.5,95.0,85.0,85.0
000000000,7II,90.7,91.0,93.0,90.8
000000000,7II,86.6,87.5,0,86.5
000000000,7II,87.2,82.5,85.0,0
000000000,7II,75.0,0,85.0,0
000000000,7II,95.4,93.0,96.5,95.0
000000000,7II,90.5,92.0,90.0,92.0
000000000,7II,90.4,92.0,97.0,85.0
000000000,7II,95.0,99.0,90.0,94.5
000000000,7II,89.3,89.0,90.0,0
000000000,7II,92.3,94.0,94.0,85.0
000000000,7II,97.0,98.5,96.0,95.0
000000000,7II,60.0,70.0,80.0,0
000000000,7JA,94.9,95.3,96.0,96.0
000000000,7JA,92.0,91.0,95.0,90.0
000000000,7JA,88.0,85.0,92.0,85.0
000000000,7JA,63.0,65.0,65.0,65.0
000000000,7JA,96.1,99.0,94.0,96.0
000000000,7JJ,91.0,85.0,0,93.0
000000000,7JJ,90.0,92.0,85.0,87.5
000000000,7JJ,86.2,80.0,95.0,0
000000000,7JJ,92.8,96.0,93.0,97.0
000000000,7JJ,92.7,92.7,92.0,98.0
000000000,7JJ,88.9,90.4,0,0
000000000,7JJ,93.7,92.0,92.0,94.0
000000000,7JJ,81.1,75.0,65.0,86.7
000000000,7JJ,91.7,92.5,93.0,92.0
000000000,7JJ,96.7,98.5,94.0,97.3
000000000,7JJ,89.8,88.0,93.0,85.0
000000000,7JJ,85.7,90.0,94.0,85.0
000000000,7JJ,86.9,90.0,90.0,77.5
000000000,7JJ,92.7,90.0,96.0,90.0
000000000,7JJ,93.8,95.5,91.0,94.0
000000000,7JJ,88.0,88.0,88.0,93.0
000000000,7JJ,96.6,96.5,97.0,96.0
000000000,7JJ,91.2,95.0,85.0,92.0
000000000,7JJ,89.6,95.0,93.0,80.0
000000000,7JJ,85.7,85.0,80.0,80.0
000000000,7JJ,87.8,85.0,90.0,88.0
000000000,7JJ,79.3,65.0,85.0,85.0
000000000,7JJ,93.4,96.0,88.0,92.0
000000000,7JJ,91.0,93.5,93.0,85.0
000000000,7JJ,88.1,85.0,88.0,85.0
000000000,7JJ,94.3,93.0,95.0,95.5
000000000,7JJ,94.7,95.0,94.0,97.0
000000000,7JJ,76.7,62.5,80.0,82.5
000000000,7JJ,91.4,93.0,90.0,85.0
000000000,7JJ,89.0,89.3,92.0,0
000000000,7JJ,92.7,91.0,93.0,93.7
000000000,7KK,83.1,80.0,85.0,88.0
000000000,7KK,90.8,90.0,91.0,93.0
000000000,7KK,94.1,95.0,94.0,90.0
000000000,7KK,92.6,91.0,92.0,99.0
000000000,7KK,92.1,95.0,90.0,90.0
000000000,7KK,91.6,94.0,95.0,89.0
000000000,7KK,89.5,85.0,92.0,90.0
000000000,7KK,79.0,70.0,75.0,82.5
000000000,7KK,89.8,92.0,93.0,94.0
000000000,7KK,54.0,55.0,50.0,0
000000000,7KK,85.4,87.0,93.0,85.0
000000000,7KK,89.0,86.5,85.0,88.0
000000000,7KK,85.8,95.0,85.0,80.0
000000000,7KK,86.0,84.0,0,91.0
000000000,7KK,84.9,80.0,96.0,90.0
000000000,7KK,94.3,93.0,99.0,92.0
000000000,7KK,92.5,92.5,92.0,90.0
000000000,7KK,81.7,77.5,80.0,95.0
000000000,7KK,91.6,94.0,90.0,92.5
000000000,7KK,90.8,95.0,91.0,85.0
000000000,7KK,70.5,72.5,52.5,0
000000000,7KK,94.2,90.0,94.0,95.5
000000000,7KK,94.8,97.0,97.0,93.5
000000000,7KK,57.4,50.0,0,50.0
000000000,7KK,97.8,99.0,93.0,98.0
000000000,7KK,95.7,97.5,94.0,96.0
000000000,7KK,89.8,85.0,90.0,92.0
000000000,7KK,84.7,80.0,85.0,0
000000000,7KK,92.0,91.0,93.0,88.0
000000000,7KK,92.3,93.0,90.0,88.0
000000000,7KK,60.0,55.0,55.0,0
000000000,7KK,86.5,81.0,92.0,85.0
000000000,7KK,92.8,96.0,85.0,98.0
000000000,7LL,95.3,97.7,96.0,85.0
000000000,7LL,89.5,92.0,85.0,93.0
000000000,7LL,93.2,94.5,96.0,0
000000000,7LL,92.7,90.0,94.0,93.5
000000000,7LL,89.4,87.5,88.0,95.0
000000000,7LL,77.8,72.5,50.0,88.0
000000000,7LL,93.7,93.5,95.0,91.0
000000000,7LL,56.3,55.0,50.0,55.0
000000000,7LL,76.7,72.5,80.0,80.0
000000000,7LL,70.0,76.7,50.0,75.0
000000000,7LL,89.4,90.0,88.0,89.5
000000000,7LL,90.7,85.0,91.0,91.0
000000000,7LL,94.4,93.0,95.0,98.0
000000000,7LL,89.5,90.0,92.0,87.5
000000000,7LL,92.6,96.0,85.0,94.0
000000000,7LL,94.6,96.0,94.0,98.0
000000000,7LL,92.2,94.0,92.0,91.3
000000000,7LL,93.2,93.0,94.0,94.0
000000000,7LL,87.6,88.0,85.0,85.0
000000000,7LL,90.5,91.5,80.0,85.0
000000000,7LL,93.2,95.0,95.0,90.0
000000000,7LL,81.3,80.0,82.5,90.0
000000000,7LL,92.8,90.0,91.0,95.0
000000000,7LL,91.5,92.5,96.0,92.0
000000000,7LL,92.0,92.0,93.0,91.0
000000000,7LL,88.2,89.0,96.0,80.0
000000000,7LL,88.4,80.0,90.0,92.0
000000000,7LL,94.2,96.0,85.0,98.0
000000000,7LL,90.7,90.0,94.0,92.0
000000000,7LL,92.5,94.0,85.0,88.0
000000000,7LL,94.0,96.0,95.0,91.0
000000000,7MM,89.3,88.0,88.0,88.0
000000000,7MM,90.8,93.0,93.0,0
000000000,7MM,91.2,80.0,94.0,0
000000000,7MM,90.0,93.0,85.0,95.0
000000000,7MM,93.5,90.0,90.0,90.0
000000000,7MM,95.7,94.0,94.0,98.0
000000000,7MM,93.0,90.0,92.0,95.0
000000000,7MM,55.0,60.0,0,52.5
000000000,7MM,90.8,90.0,90.0,85.0
000000000,7MM,96.7,97.0,96.0,98.0
000000000,7MM,92.6,96.5,88.0,97.0
000000000,7MM,78.7,73.0,94.0,65.0
000000000,7MM,94.0,93.5,95.0,98.0
000000000,7MM,89.5,92.5,85.0,80.0
000000000,7MM,95.2,93.0,93.0,95.0
000000000,7MM,94.2,94.0,88.0,96.0
000000000,7MM,82.2,92.5,70.0,0
000000000,7MM,87.0,93.0,90.0,80.0
000000000,7MM,89.0,92.5,90.0,80.0
000000000,7MM,91.0,95.0,90.0,85.0
000000000,7MM,78.6,80.0,75.0,0
000000000,7MM,88.3,75.0,91.0,88.0
000000000,7MM,87.6,83.5,0,85.0
000000000,7MM,89.0,86.0,94.0,85.0
000000000,7MM,95.0,97.0,92.0,96.0
000000000,7MM,89.8,88.0,93.0,85.0
000000000,7MM,95.0,99.0,95.0,92.0
000000000,7MM,92.6,93.0,0,88.0
000000000,7MM,90.6,89.5,93.5,80.0
000000000,7MM,90.6,91.0,93.0,90.5
000000000,7MM,87.0,81.5,94.0,90.0
000000000,7MM,87.2,93.0,80.0,0
000000000,7MM,90.0,80.0,90.0,90.0
000000000,7MM,89.8,95.0,90.0,91.0
000000000,7MM,96.2,94.5,94.0,0
000000000,7NN,89.3,91.7,0,88.0
000000000,7NN,66.2,73.0,80.0,0
000000000,7NN,92.5,90.3,92.0,94.0
000000000,7NN,84.2,88.3,85.0,0
000000000,7NN,92.2,90.7,93.0,0
000000000,7NN,88.7,92.0,95.0,80.0
000000000,7NN,88.3,80.0,90.0,85.0
000000000,7NN,93.6,92.5,95.0,96.0
000000000,7NN,89.7,88.0,88.0,85.0
000000000,7NN,87.7,87.5,88.0,85.0
000000000,7NN,89.0,80.0,90.0,85.0
000000000,7NN,88.3,85.0,92.0,90.0
000000000,7NN,83.0,90.0,80.0,85.0
000000000,7NN,95.2,91.0,93.0,98.5
000000000,7NN,97.6,98.0,96.5,96.0
000000000,7NN,92.2,93.5,92.0,97.0
000000000,7NN,89.7,95.0,93.0,82.5
000000000,7NN,89.7,86.5,91.0,88.0
000000000,7NN,93.4,96.0,88.0,94.0
000000000,7NN,94.5,91.0,93.0,94.0
000000000,7NN,76.2,78.5,65.0,80.0
000000000,7NN,92.4,92.3,97.0,85.0
000000000,7NN,91.3,88.0,93.0,92.0
000000000,7NN,89.7,85.0,93.0,90.0
000000000,7NN,75.0,75.0,65.0,0
000000000,7NN,88.0,88.0,88.0,80.0
000000000,7NN,93.8,92.0,95.0,85.0
000000000,7NN,81.6,72.5,90.0,0
000000000,7NN,79.0,75.0,50.0,80.0
000000000,7NN,88.8,92.0,90.0,90.0
000000000,7NN,86.5,85.0,92.0,77.5
000000000,7NN,91.0,97.0,93.0,80.0
000000000,7NN,86.2,93.0,85.0,88.0
000000000,7OO,98.8,100.0,97.0,99.0
000000000,7OO,95.4,95.0,95.0,96.0
000000000,7OO,87.6,86.5,95.0,80.0
000000000,7OO,90.2,95.0,88.0,85.0
000000000,7OO,92.0,94.0,93.0,91.5
000000000,7OO,93.7,95.5,92.0,94.0
000000000,7OO,86.2,86.5,85.0,75.0
000000000,7OO,89.6,92.0,0,96.0
000000000,7OO,92.8,91.0,95.0,95.0
000000000,7OO,99.3,99.5,99.0,98.0
000000000,7OO,95.0,97.5,94.0,97.0
000000000,7OO,89.5,92.0,85.0,85.0
000000000,7OO,89.5,88.0,88.0,0
000000000,7OO,88.6,80.0,88.0,85.0
000000000,7OO,88.7,92.0,85.0,88.0
000000000,7OO,94.7,93.5,96.0,94.0
000000000,7OO,91.3,89.0,95.0,93.0
000000000,7OO,93.0,96.0,91.0,90.0
000000000,7OO,95.6,95.5,97.0,94.0
000000000,7OO,91.0,93.3,93.0,88.0
000000000,7OO,95.5,97.5,91.0,0
000000000,7OO,87.6,88.0,90.0,85.0
000000000,7OO,86.8,80.0,90.0,70.0
000000000,7OO,86.9,90.4,90.0,94.0
000000000,7OO,90.7,96.0,98.0,82.5
000000000,7OO,94.5,94.3,97.0,95.0
000000000,7OO,91.6,90.0,95.0,90.0
000000000,7OO,91.6,92.0,90.0,0
000000000,7OO,94.0,94.5,91.0,100.0
000000000,7OO,90.9,91.0,85.0,92.0
000000000,7OO,92.1,92.0,90.0,87.5
000000000,7OO,90.4,90.5,0,88.0
000000000,7OO,92.7,90.0,88.0,91.0
000000000,7OO,97.5,96.0,96.0,98.0
000000000,7PP,78.3,80.0,80.0,75.0
000000000,7PP,90.0,90.0,85.0,94.0
000000000,7PP,92.0,96.0,88.0,88.0
000000000,7PP,87.6,86.0,85.0,0
000000000,7PP,92.5,92.0,95.0,94.0
000000000,7PP,72.5,70.0,65.0,55.0
000000000,7PP,88.8,90.5,92.0,80.0
000000000,7PP,93.2,92.0,95.0,92.0
000000000,7PP,82.7,80.5,90.0,65.0
000000000,7PP,85.8,75.0,91.0,70.0
000000000,7PP,63.0,60.0,70.0,0
000000000,7PP,94.9,94.0,96.0,85.0
000000000,7PP,85.8,96.0,90.0,70.0
000000000,7PP,90.7,90.0,92.0,90.0
000000000,7PP,87.2,89.3,90.0,85.0
000000000,7PP,73.3,77.5,80.0,65.0
000000000,7PP,95.3,96.5,91.0,95.0
000000000,7PP,90.4,95.0,90.0,0
000000000,7PP,96.2,95.0,99.0,0
000000000,7PP,94.8,96.5,91.0,97.0
000000000,7PP,86.0,70.0,88.0,92.5
000000000,7PP,91.7,90.0,95.0,90.0
000000000,7PP,95.2,94.5,96.0,96.0
000000000,7PP,93.3,90.0,88.0,0
000000000,7PP,81.7,80.0,84.0,0
000000000,7PP,89.0,75.0,0,91.0
000000000,7PP,91.7,96.0,88.0,88.0
000000000,7PP,87.8,92.5,80.0,99.0
000000000,7PP,96.6,94.5,95.5,99.0
000000000,7PP,93.6,90.0,93.0,94.0
000000000,7PP,94.9,93.0,94.0,93.5
000000000,7PP,86.2,84.5,88.0,85.0
000000000,7PP,91.8,90.5,91.0,94.0
000000000,7QQ,91.2,86.5,95.0,97.0
000000000,7QQ,89.7,87.0,90.0,93.0
000000000,7QQ,92.5,92.0,94.0,0
000000000,7QQ,89.0,91.5,88.0,75.0
000000000,7QQ,90.9,90.0,97.0,89.0
000000000,7QQ,89.3,85.0,85.0,90.0
000000000,7QQ,90.6,98.0,85.0,91.0
000000000,7QQ,90.7,93.0,91.0,85.0
000000000,7QQ,89.0,95.0,93.0,85.0
000000000,7QQ,88.4,88.0,93.0,88.0
000000000,7QQ,95.5,95.5,0,97.0
000000000,7QQ,75.9,92.0,77.5,65.0
000000000,7QQ,64.0,55.0,55.0,80.0
000000000,7QQ,92.6,94.0,94.0,88.0
000000000,7QQ,64.2,75.0,50.0,0
000000000,7QQ,85.7,95.0,75.0,92.0
000000000,7QQ,91.2,94.5,90.0,0
000000000,7QQ,91.7,85.0,91.0,93.0
000000000,7QQ,94.9,94.5,95.0,94.0
000000000,7QQ,88.6,94.0,88.0,88.0
000000000,7QQ,86.6,85.0,90.0,86.5
000000000,7QQ,94.8,94.0,91.0,97.0
000000000,7QQ,91.3,89.0,90.0,95.0
000000000,7QQ,94.5,92.0,96.0,95.0
000000000,7QQ,80.1,70.0,70.0,82.7
000000000,7QQ,92.2,88.0,89.5,0
000000000,7QQ,93.8,91.5,95.0,94.0
000000000,7QQ,79.5,88.5,85.0,75.0
000000000,7QQ,92.2,93.0,88.0,95.0
000000000,7QQ,93.5,91.0,96.0,91.0
000000000,7QQ,85.6,92.5,88.0,0
000000000,7QQ,87.2,84.3,95.0,85.0
000000000,7RR,93.2,90.0,92.0,94.0
000000000,7RR,84.6,85.0,85.0,0
000000000,7RR,91.6,90.5,92.0,95.0
000000000,7RR,88.3,85.0,92.0,98.0
000000000,7RR,93.2,93.5,95.5,88.0
000000000,7RR,89.6,95.0,88.0,85.0
000000000,7RR,85.8,75.0,92.0,80.0
000000000,7RR,93.5,97.7,92.0,88.0
000000000,7RR,89.2,87.5,90.0,90.0
000000000,7RR,79.0,77.5,85.0,0
000000000,7RR,93.2,93.0,97.0,90.0
000000000,7RR,92.8,96.5,90.0,91.3
000000000,7RR,95.0,93.5,95.0,96.0
000000000,7RR,85.2,80.0,75.0,90.0
000000000,7RR,93.5,91.5,91.0,99.0
000000000,7RR,87.6,91.0,91.0,88.0
000000000,7RR,86.6,81.5,85.0,0
000000000,7RR,88.0,92.7,85.0,85.0
000000000,7RR,91.4,94.0,90.0,88.0
000000000,7RR,93.7,92.5,94.0,0
000000000,7RR,92.2,93.0,93.0,98.0
000000000,7RR,76.0,87.5,65.0,0
000000000,7RR,93.5,95.0,99.0,88.0
000000000,7RR,94.3,95.6,95.0,96.0
000000000,7RR,94.8,93.0,0,96.0
000000000,7RR,72.0,70.0,75.0,0
000000000,7RR,91.0,92.7,90.0,92.0
000000000,7RR,97.4,98.0,98.0,96.0
000000000,7RR,81.5,82.5,80.0,91.0
000000000,7RR,88.6,92.5,90.0,0
000000000,7RR,91.6,96.0,94.0,85.5
000000000,7RR,94.7,95.5,99.0,89.0
000000000,7SS,95.3,95.0,93.5,90.0
000000000,7SS,90.6,91.0,93.0,90.0
000000000,7SS,91.7,92.0,93.0,85.0
000000000,7SS,88.1,80.0,93.0,80.0
